GEOID,LAND_AREA,Tot_Population_ACS_17_21,pct_Males_ACS_17_21,Median_Age_ACS_17_21,pct_Pop_5_17_ACS_17_21,pct_Pop_18_24_ACS_17_21,pct_Pop_25_44_ACS_17_21,pct_Pop_45_64_ACS_17_21,pct_Pop_65plus_ACS_17_21,pct_Hispanic_ACS_17_21,pct_NH_White_alone_ACS_17_21,pct_NH_Blk_alone_ACS_17_21,pct_NH_AIAN_alone_ACS_17_21,pct_NH_Asian_alone_ACS_17_21,pct_NH_NHOPI_alone_ACS_17_21,pct_NH_SOR_alone_ACS_17_21,pct_NH_Multi_Races_ACS_17_21,pct_Othr_Lang_ACS_17_21,pct_Not_HS_Grad_ACS_17_21,pct_College_ACS_17_21,pct_Prs_Blw_Pov_Lev_ACS_17_21,pct_Rel_Family_HHD_ACS_17_21,pct_MrdCple_HHD_ACS_17_21,pct_Not_MrdCple_HHD_ACS_17_21,pct_HHD_PPL_Und_18_ACS_17_21,avg_Tot_Prns_in_HHD_ACS_17_21,pct_Rel_Under_6_ACS_17_21,pct_PUB_ASST_INC_ACS_17_21,Med_HHD_Inc_BG_ACS_17_21,Aggregate_HH_INC_ACS_17_21,avg_Agg_HH_INC_ACS_17_21,Tot_Housing_Units_ACS_17_21,Tot_Occp_Units_ACS_17_21,pct_Tot_Occp_Units_ACS_17_21,Occp_U_NO_PH_SRVC_ACS_17_21,pct_Occp_U_NO_PH_SRVC_ACS_17_21,phone_response_rate_cen_2020,pct_URBAN_POP_CEN_2020,pct_RURAL_POP_CEN_2020
5.3005E+11,2.097,2261,52.72,32.9,17.82,19.28,25.25,20.74,12.91,6.72,76.91,3.36,0,2.39,0,2.7,7.92,16.21,5.56,39.79,8.71,67.72,38.71,61.29,27.64,2.38,11.37,4.85,67083,77465000,81714,970,948,0.977319588,0,0,0.9,100,0
5.3005E+11,4.115,736,44.29,30.9,23.37,5.57,27.04,19.02,16.03,20.52,68.75,0,0,0.82,0,0,9.92,6.87,13.13,12.04,13.62,76.1,47.79,52.21,43.01,2.71,34.3,9.56,58690,18909600,69521,280,272,0.971428571,0,0,1.5,0,100
5.3005E+11,10.89,1285,59.38,48.3,14.94,6.46,21.17,37.12,17.59,13.7,76.42,0,1.17,2.41,0,0.78,5.53,9.28,6.46,32.41,6.46,66.99,56.62,43.38,23.22,2.47,14.9,0,96250,62854200,120641,528,521,0.986742424,0,0,1.7,0,100
5.3005E+11,1.667,900,62.22,33.7,10.44,8.89,32.78,29.22,15.56,13.44,86.56,0,0,0,0,0,0,7.34,6.3,24.64,10.11,45.79,39.36,60.64,15.59,2.23,12.43,1.24,54830,30810200,76263,482,404,0.838174274,0,0,1.7,84.9,15.1
5.3005E+11,13.55,813,51.91,47.9,7.5,7.38,21.89,38.13,17.1,4.55,91.27,0,0,0.62,0,1.97,1.6,7.49,1.75,33.33,0,84.26,74.38,25.62,24.69,2.51,11.72,1.85,109318,47907300,147862,361,324,0.897506925,0,0,0.3,5.25,94.75
5.3005E+11,4.098,1711,47.57,32.1,31.97,3.51,28.93,13.68,14.9,45,53.07,0,0,0.23,0,0,1.69,45.88,21.24,26.83,23.09,68.72,40.64,59.36,39.15,3.64,26.32,0,51463,35045900,74566,516,470,0.910852713,0,0,2.1,84.46,15.54
5.3005E+11,0.984,972,55.66,40.7,17.18,12.86,16.05,33.33,15.53,0,96.09,0,0,0,0,0,3.91,0.98,1.11,56.74,0,96.21,94.14,5.86,42.07,3.35,14.34,0,173333,54951600,189488,299,290,0.969899666,7,0.023411371,0,100,0
5.3005E+11,1.075,907,46.97,40,29.55,5.18,18.52,35.5,5.95,0,100,0,0,0,0,0,0,0,0,46.32,0,79.66,77.59,22.41,38.62,3.13,19.05,0,135521,44439100,153238,306,290,0.947712418,0,0,1.4,100,0
5.3005E+11,0.417,1655,47.07,35.4,23.87,1.45,33.72,24.05,3.93,6.34,76.5,1.81,0,0,0,0.73,14.62,15,2.64,48.87,2.42,81.47,68.17,31.83,68.35,2.98,31.57,0,108889,64143900,115367,575,556,0.966956522,0,0,0.4,100,0
5.3005E+11,0.415,2207,51.52,36.5,18.8,7.34,26.42,25.92,13.14,6.89,85.64,1.04,0.86,0.5,0,0.36,4.71,3.76,2.01,25.67,3.91,80.03,58.81,41.19,38.83,3.04,18.54,4.58,89904,77327900,107251,728,721,0.990384615,7,0.009615385,0.9,100,0
